"country_code","country_name","admin1_code","admin1_name","admin1_area","admin1_lat","admin1_lon"
"ER","Eritrea","ER4","Anseba",1.78655222806107,16.40882345,37.77828235
"ER","Eritrea","ER5","Gash Barka",2.81660216316989,15.18944851,37.41979583
"ER","Eritrea","ER6","Debub",0.78759176483825,14.82430711,38.94101734
"ET","Ethiopia","ET14","Addis Ababa",0.0443693484668877,8.980483,38.78553835
"ET","Ethiopia","ET02","Afar",7.89068240057306,12.03610025,40.77448146
"ET","Ethiopia","ET03","Amhara",12.9014534974423,11.56495272,38.04353749
"ET","Ethiopia","ET06","Benishangul Gumuz",4.14930482454232,10.50292407,35.44030741
"ET","Ethiopia","ET15","Dire Dawa",0.0867574693324389,9.60626921,42.00302689
"ET","Ethiopia","ET12","Gambela",2.56091027869765,7.68382482,34.33676949
"ET","Ethiopia","ET13","Harari",0.0305118364203925,9.28966003,42.17252587
"ET","Ethiopia","ET04","Oromia",26.5511122402124,7.5080554,38.76512402
"ET","Ethiopia","ET07","SNNP",8.92852803148744,6.46546929,36.8063606
"ET","Ethiopia","ET05","Somali",25.4434455699276,6.92574848,43.32997229
"ET","Ethiopia","ET01","Tigray",4.39912097632076,13.77711621,38.43867504
"KE","Kenya","KEN01","Mombasa",0.0233198370194163,-4.02118441,39.65065227
"KE","Kenya","KEN02","Kwale",0.67229061985262,-4.1415269,39.15260065
"KE","Kenya","KEN03","Kilifi",1.02539970377995,-3.17533828,39.68667526
"KE","Kenya","KEN04","Tana River",3.18416872695623,-1.52636322,39.41786531
"KE","Kenya","KEN05","Lamu",0.493911908470102,-2.04751505,40.75809285
"KE","Kenya","KEN06","Taita Taveta",1.39384448560109,-3.434734,38.418602
"KE","Kenya","KEN07","Garissa",3.54144839323591,-0.48882109,40.19921911
"KE","Kenya","KEN08","Wajir",4.60637616901192,1.80813762,40.03498564
"KE","Kenya","KEN09","Mandera",2.11434317736312,3.43646949,40.73881017
"KE","Kenya","KEN10","Marsabit",6.18504570658223,2.97865879,37.5695361
"KE","Kenya","KEN11","Isiolo",2.06363612303848,1.01044307,38.54215312
"KE","Kenya","KEN12","Meru",0.568018718312543,0.16677924,37.76403705
"KE","Kenya","KEN13","Tharaka-Nithi",0.209620912191496,-0.20706122,37.87029729
"KE","Kenya","KEN14","Embu",0.229343555924388,-0.60397438,37.62650132
"KE","Kenya","KEN15","Kitui",2.47528137397351,-1.49103854,38.40692102
"KE","Kenya","KEN16","Machakos",0.490984751560261,-1.27951231,37.41267603
"KE","Kenya","KEN17","Makueni",0.664595941971067,-2.1576841,37.78824557
"KE","Kenya","KEN18","Nyandarua",0.265418488945451,-0.32207781,36.48286916
"KE","Kenya","KEN19","Nyeri",0.270905688252673,-0.3429236,36.95647813
