,Title,Summary,Link,Published Date,Country/Region
12,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM_ETT_CMR_ExtN_89_Koza_Mayo-Tsanaga_VF.pdf,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
13,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/reports/slovakia-crossing-back-surveys-ukrainian-nationals-annual-report-2023,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
14,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/fr/reports/mali-rapport-trimestriel-sur-les-flux-migratoires-au-mali-octobre-decembre-2023,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
15,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/fr/reports/afrique-de-louest-et-du-centre-tableau-de-bord-mensuel-sur-la-crise-du-liptako-gourma-45,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
16,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/LAKE%20CHAD%20BASIN%20-%20Jan2024%20%28FR%29.pdf,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
17,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/reports/nigeria-north-east-mobility-tracking-round-46-idp-and-returnee-atlas-december-2023,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
18,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/ETT%2037.1%20Displacement%20at%20Carrefour%2CCit%C3%A9%20Soleil%2CTabarre.pdf,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
19,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/DTM_LVA_2023_Crossing%20Back_Ukraine_Q4.pdf,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
20,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/reports/latvia-way-back-survey-ukrainian-nationals-annual-2023,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
21,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/fr/reports/afrique-de-louest-et-du-centre-tableau-de-bord-mensuel-sur-la-situation-en-republique-8,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
22,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/fr/reports/haiti-cartographie-de-mobilite-dans-le-grand-sud-comprendre-la-situation-de-deplacement,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
23,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/reports/dtm-sudan-weekly-displacement-snapshot-20,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
24,"Haïti — Suivi des Urgences 37 — Déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 11 février 2024)",Ces informations ont été recueillies à la suite de diverses attaques armées survenues dans plusieurs quartiers de la capitale depuis le 05 février dans les communes de Carrefour Cité Soleil et Tabarre…,https://dtm.iom.int/fr/reports/cameroun-suivi-des-urgences-89-06-13-fevrier-2024,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
