title,description,published date,url,publisher,Country_Search,Relevant_Term_Found
Anti-migrant raids push millions of Afghans into hiding in Pakistan - The Associated Press,Anti-migrant raids push millions of Afghans into hiding in Pakistan  The Associated Press,29/04/2024,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3Bha2lzdGFuLWFmZ2hhbmlzdGFuLXJlZnVnZWVzLWRlcG9ydGF0aW9uLTk5MjgyNDdhYzhjYmZlOWVmZTMzZTYwNTY0OTM3MTIx0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Associated Press,Afghanistan,TRUE
Research: The State of Global Mobility in the Afte.. | migrationpolicy.org - Migration Policy Institute,Research: The State of Global Mobility in the Afte.. | migrationpolicy.org  Migration Policy Institute,28/04/2024,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm1pZ3JhdGlvbnBvbGljeS5vcmcvcmVzZWFyY2gvc3RhdGUtZ2xvYmFsLW1vYmlsaXR5LWFmdGVybWF0aC1jb3ZpZC0xOdIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Migration Policy Institute,Afghanistan,TRUE
Pakistan's brutal deportation of Afghans widens to target registered migrants and refugees - Himal Southasian,Pakistan's brutal deportation of Afghans widens to target registered migrants and refugees  Himal Southasian,29/04/2024,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmhpbWFsbWFnLmNvbS9wb2xpdGljcy9wYWtpc3Rhbi1kZXBvcnRhdGlvbi1hZmdoYW5pc3Rhbi1taWdyYW50cy1yZWZ1Z2Vlcy13b21lbtIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Himal Southasian,Afghanistan,TRUE
"Floods in Afghanistan leave 11 people dead, injured - Mehr News Agency - English Version","Floods in Afghanistan leave 11 people dead, injured  Mehr News Agency - English Version",29/04/2024,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZW4ubWVocm5ld3MuY29tL25ld3MvMjE0NDk5L0Zsb29kcy1pbi1BZmdoYW5pc3Rhbi1sZWF2ZS0xMS1wZW9wbGUtZGVhZC1pbmp1cmVk0gEjaHR0cHM6Ly9lbi5tZWhybmV3cy5jb20vYW1wLzIxNDQ5OS8?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Mehr News Agency - English Version,Afghanistan,TRUE
Afghan Migrants' 'PoR' Cards in Pakistan Extended for Two Months - TOLOnews,Afghan Migrants' 'PoR' Cards in Pakistan Extended for Two Months  TOLOnews,28/04/2024,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vdG9sb25ld3MuY29tL2luZGV4LnBocC9hZmdoYW5pc3Rhbi0xODg1MzPSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,TOLOnews,Afghanistan,TRUE
Germany sees increase in refugee employment amid tough job market - MSN,Germany sees increase in refugee employment amid tough job market  MSN,28/04/2024,https://news.google.com/rss/articles/CBMi9gFodHRwOi8vd3d3Lm1zbi5jb20vZW4tZ2IvbW9uZXkvb3RoZXIvZ2VybWFueS1zZWVzLWluY3JlYXNlLWluLXJlZnVnZWUtZW1wbG95bWVudC1hbWlkLXRvdWdoLWpvYi1tYXJrZXQvYXItQkIxbHluT0g_b2NpZD1hbnNNU05Nb25leTExJmFwaXZlcnNpb249djImbm9zZXJ2ZXJjYWNoZT0xJmRvbXNoaW09MSZyZW5kZXJ3ZWJjb21wb25lbnRzPTEmd2NzZW89MSZiYXRjaHNlcnZlcnRlbGVtZXRyeT0xJm5vc2VydmVydGVsZW1ldHJ5PTHSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,MSN,Afghanistan,TRUE
"Nearly 2,000 Afghan migrants returned from Iran and Pakistan in two days - The Khaama Press News Agency","Nearly 2,000 Afghan migrants returned from Iran and Pakistan in two days  The Khaama Press News Agency",28/04/2024,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmtoYWFtYS5jb20vbmVhcmx5LTIwMDAtYWZnaGFuLW1pZ3JhbnRzLXJldHVybmVkLWZyb20taXJhbi1hbmQtcGFraXN0YW4taW4tdHdvLWRheXMv0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Khaama Press News Agency,Afghanistan,TRUE
Ireland faces influx of illegal migrants from UK - azərbaycan24,Ireland faces influx of illegal migrants from UK  azərbaycan24,29/04/2024,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmF6ZXJiYXljYW4yNC5jb20vZW4vaXJlbGFuZC1mYWNlcy1pbmZsdXgtb2YtaWxsZWdhbC1taWdyYW50cy1mcm9tLXVrL9IBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,azərbaycan24,Azerbaijan,TRUE
Ireland seeks emergency law to return asylum seekers back to UK - Euronews,Ireland seeks emergency law to return asylum seekers back to UK  Euronews,28/04/2024,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDI0LzA0LzI4L2lyZWxhbmQtc2Vla3MtZW1lcmdlbmN5LWxhdy10by1yZXR1cm4tYXN5bHVtLXNlZWtlcnMtYmFjay10by11a9IBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Euronews,Azerbaijan,TRUE
"Qatari emir in Nepal, expected to tackle migrant conditions and Nepali student held hostage by Hamas - ABC News","Qatari emir in Nepal, expected to tackle migrant conditions and Nepali student held hostage by Hamas  ABC News",28/04/2024,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvcWF0YXJpLWVtaXItbmVwYWwtZXhwZWN0ZWQtdGFja2xlLW1pZ3JhbnQtY29uZGl0aW9ucy1uZXBhbGktMTA5NTI5NDMz0gF4aHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvcWF0YXJpLWVtaXItbmVwYWwtZXhwZWN0ZWQtdGFja2xlLW1pZ3JhbnQtY29uZGl0aW9ucy1uZXBhbGktMTA5NTI5NDMz?oc=5&hl=en-GB&gl=GB&ceid=GB:en,ABC News,Bangladesh,TRUE
